fase;pelicula;estreno;presupuesto;ingreso_mundial;IMDb_recepcion_publico;;;;
1;Iron Man;2008;140000000;585174222;7.9;;;;
1;The Incredible Hulk;2008;150000000;263427551;6.6;;;;
1;Iron Man 2;2010;200000000;623933331;7.0;;;;
1;Thor;2011;150000000;449326618;7.0;;;;
1;Captain America: The First Avenger;2011;140000000;370569774;6.9;;;;
1;The Avengers;2012;220000000;1518812988;8.0;;;;
2;Iron Man 3;2013;178000000;1214811252;7.1;;;;
2;Thor: The Dark World;2013;152000000;644571402;6.8;;;;
2;Captain America: The Winter Soldier;2014;177000000;714264267;7.7;;;;
2;Guardians of the Galaxy;2014;195000000;773328629;7.6;;;;
2;Avengers: Age of Ultron;2015;365000000;1405403694;7.3;;;;
2;Ant-Man;2015;109000000;519311965;7.3;;;;
3;Captain America: Civil War;2016;230000000;1153304495;7.8;;;;
3;Doctor Strange;2016;165000000;677718395;7.5;;;;
3;Guardians of the Galaxy Vol. 2;2017;200000000;863756051;7.6;;;;
3;Spider-Man: Homecoming;2017;175000000;880166924;7.4;;;;
3;Thor: Ragnarok;2017;180000000;853977126;7.9;;;;
3;Black Panther;2018;200000000;1346913161;7.3;;;;
3;Avengers: Infinity War;2018;350000000;2048359754;8.4;;;;
3;Ant-Man and the Wasp;2018;162000000;622674139;7.0;;;;
3;Captain Marvel;2019;175000000;1128274794;6.8;;;;
3;Avengers: Endgame;2019;360000000;2798274401;8.4;;;;
3;Spider-Man: Far From Home;2019;160000000;1131524267;7.4;;;;
4;Black Widow;2021;200000000;504751655;6.8;;;;
4;Shang-Chi and the Legend of the Ten Rings;2021;200000000;432243292;7.5;;;;
4;Eternals;2021;200000000;402064899;6.5;;;;
4;Spider-Man: No Way Home;2021;200000000;1892416709;8.7;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
