Película;Estreno de película en EE.UU;Ingreso Mundial;Ingreso Mundial Redondeado;IMDb de la Película;Serie;IMDb de la Serie;;;
;;;;;;;;;
;;;;;;;;;
Iron Man;2008;$585,174,222;$585,2 Millones;7.9;Agents of S.H.I.E.L.D.;7.5;;;
The Incredible Hulk;2008;$263 427 551;$263,4 Millones;6.6;Agent Carter;7.9;;;
Iron Man 2;2010;$623,933,331;$623,9 Millones;7.0;Daredevil;8.6;;;
Thor;2011;$449 326 618;$449,3 Millones;7.0;Jessica Jones;7.9;;;
Capitán América: el primer vengador;2011;$370 569 774;$370,6 Millones;6.9;Luke Cage;7.3;;;
The Avengers;2012;$1 518 812 988;$1,5 Mil Millones;8.0;Iron Fist;6.5;;;
Iron Man 3;2013;$1 214 811 252;$1,2 Mil Millones;7.1;The Defenders;7.3;;;
Thor: The Dark World;2013;$644 571 402;$644,6 Millones;6.8;Inhumans;5.0;;;
Captain America: The Winter Soldier;2014;$714 264 267;$714,3 Millones;7.7;The Punisher;8.5;;;
Guardianes de la Galaxia;2014;$773 328 629;$773,3 Millones;7.6;Runaways;7.0;;;
Avengers: Age of Ultron;2015;$1 405 403 694;$1,4 Mil Millones;7.3;Cloak & Dagger;6.7;;;
Ant-Man;2015;$519 311 965;$519,3 Millones;7.3;Helstrom;6.8;;;
Capitán América: Civil War;2016;$1 153 304 495;$1,2 Mil Millones;7.8;WandaVision;8.0;;;
Doctor Strange;2016;$677 718 395;$677,7 Millones;7.5;The Falcon and the Winter Soldier;7.3;;;
Guardianes de la Galaxia Vol. 2;2017;$863 756 051;$863,8 Millones;7.6;Loki;8.3;;;
Spider-Man: Homecoming;2017;$880 166 924;$880,2 Millones;7.4;What If...?;7.5;;;
Thor: Ragnarok;2017;$853 977 126;$854  Millones;7.9;Hawkeye;7.6;;;
Pantera Negra;2018;$1 346 913 161;$1,3 Mil Millones;7.3;Moon Knight;7.7;;;
Avengers: Infinity War;2018;$2 048 359 754;$2,0 Mil Millones;8.4;;;;;
Ant-Man and the Wasp;2018;$622 674 139;$622,7 Millones;7.0;;;;;
Capitana Marvel;2019;$1 128 274 794;$1,1 Mil Millones;6.8;;;;;
Avengers: Endgame;2019;$2 798 274 401;$2,8 Mil Millones;8.4;;;;;
Spider-Man: Lejos de casa;2019;$1 131 524 267;$1,1 Mil Millones;7.4;;;;;
Black Widow;2021;$504 751 655;$504,8 Millones;6.8;;;;;
Shang-Chi y la leyenda de los Diez Anillos;2021;$432 243 292;$432,2 Millones;7.5;;;;;
Eternals;2021;$402 064 899;$402  Millones;6.5;;;;;
Spider-Man: No Way Home;2021;$1 892 416 709;$1,9 Mil Millones;8.7;;;;;
;;$25 816 926 755;25, 8 Mil Millones;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
